LipidMaps	KEGG
LMFA03020006	C05951
LMFA03040002	C06315
LMFA03010131	C00959
LMFA01050015	C06103
LMFA02000154	C14762
LMFA01060091	C02367
LMFA01170052	C05601
LMFA02000273	C08319
LMFA01100043	C02261
LMFA02020009	C08490
LMFA07060022	C12349
LMFA07060030	C12357
LMFA01140007	C12100
LMFA01050402	C03264
LMFA01090152	C12835
LMFA02000287	C08318
LMFA03110001	C13809
LMFA01090146	C19212
LMFA01050483	C02630
LMFA07050393	C05271
LMFA07050378	C03221
LMFA03060002	C04805
LMFA01030089	C08316
LMFA03060011	C14732
LMFA12000354	C04486
LMFA05000658	C08449
LMFA05000689	C08450
LMFA03010100	C05953
LMFA03020024	C05949
LMFA08020168	C10944
LMFA03010154	C14795
LMFA08020419	C00864
LMFA01030289	C16536
LMFA01030073	C01712
LMFA01030077	C08367
LMFA01010018	C01530
LMFA07050000	C00040
LMFA05000096	C08378
LMFA01030146	C08364
LMFA01030760	C12083
LMFA01030378	C16522
LMFA01030158	C03242
LMFA01030185	C06429
LMFA07050302	C02944
LMFA07050340	C01832
LMFA07050352	C02593
LMFA07050360	C00154
LMFA07050396	C05273
LMFA07050060	C02050
LMFA07050369	C00412
LMFA07050372	C16529
LMFA07050313	C05274
LMFA07050375	C05279
LMFA07050391	C05275
LMFA07050117	C14145
LMFA07050185	C07343
LMFA07050222	C05998
LMFA07050288	C02249
LMFA07050297	C11946
LMFA07050303	C06736
LMFA07050336	C02939
LMFA07050381	C16332
LMFA07050388	C03231
LMFA07070003	C02862
LMFA07070004	C02990
LMFA07070005	C03017
LMFA05000092	C14696
LMFA03140003	C18171
LMFA01030141	C06426
LMFA01030152	C06427
LMFA01030147	C08315
LMFA01030120	C01595
LMFA01030759	C06428
LMFA02020207	C08558
LMFA01030169	C16300
LMGL0501AG00	C13508
LMGL0501AA00	C03692
LMGL02010000	C00641
LMGL0501AC00	C04872
LMGL0401AA00	C04315
LMGL02020001	C13862
LMGL0501AD00	C06037
LMGL03010000	C00422
LMGL0501AE00	C06038
LMGL0501AB00	C04046
LMGL0501AF00	C06040
LMGL02020000	C03201
LMGL02010321	C16667
LMGL01010023	C13856
LMGL02010006	C13861
LMGL02040001	C13864
LMGL01010008	C13854
LMGL01010000	C01885
LMGP10010000	C00416
LMGP01050000	C04230
LMGP10050000	C00681
LMGP04010000	C00344
LMGP0205AA00	C05973
LMGP0201AB00	C04308
LMGP10050042	C00416
LMGP12010000	C05980
LMGP06010966	C00626
LMGP01050141	C04230
LMGP02010000	C00350
LMGP0105AA00	C04233
LMGP0305AA00	C05974
LMGP02050000	C04438
LMGP01060014	C04317
LMGP1005AA00	C03974
LMGP0201AA00	C01241
LMGP06010000	C01194
LMGP05010000	C03892
LMGP13050000	C02255
LMGP01050144	C04230
LMGP03010000	C02737
LMGP10050041	C04036
LMGP13010000	C00269
LMGP10050044	C00416
LMGP10040005	C04638
LMGP13040001	C18059
LMGP01010000	C00157
LMGP00000063	C01192
LMGP01050138	C04230
LMGP01050139	C04230
LMGP01050142	C04230
LMGP01050143	C04230
LMGP10050043	C00416
LMGP01050140	C04230
LMGP10060002	C04590
LMSP01060001	C03640
LMSP05010031	C03108
LMSP0501AC00	C02686
LMSP02050000	C02960
LMSP03010000	C00550
LMSP07000001	C01747
LMSP0501AA00	C01190
LMSP01050001	C06124
LMSP06020009	C06125
LMSP06020002	C06125
LMSP01030001	C12144
LMSP04000000	C05681
LMSP01080023	C19242
LMSP0501AB00	C01290
LMSP06020000	C06125
LMSP02010000	C00195
LMSP06020015	C06125
LMSP0601AA00	C06128
LMSP01010002	C06121
LMSP0509AA00	C06126
LMSP06020010	C06125
LMSP0602AM00	C06127
LMSP01010001	C00319
LMSP03020000	C06062
LMSP02020000	C12126
LMSP01050002	C01120
LMSP01020001	C00836
LMSP01020002	C02934
LMSP02010001	C13916
LMSP01040001	C13915
LMSP02040001	C13918
LMSP01070001	C13914
LMSP08000002	C02744
LMST05020004	C05468
LMST01010428	C08811
LMST02030130	C13712
LMST01140001	C08814
LMST04010057	C17650
LMST01010146	C15519
LMST01010090	C01802
LMST01010144	C05502
LMST04030166	C15520
LMST04010041	C17646
LMST04010067	C17726
LMST04010065	C17727
LMST01020036	C02681
LMST04030149	C17337
LMST01160020	C08842
LMST02030134	C18040
LMST01100001	C08830
LMST01100008	C01902
LMST02020017	C14475
LMST02020068	C05291
LMST05010016	C11246
LMST05010018	C11289
LMST02020066	C05284
LMST02020120	C14256
LMST04010088	C17644
LMST01160016	C08635
LMST01030101	C01943
LMST01010201	C05500
LMST05050028	C11237
LMST01010173	C03855
LMST01130007	C08880
LMST01120015	C08862
LMST01080008	C04716
LMST01120022	C01443
LMST01080006	C08885
LMST01080053	C08897
LMST01130005	C08879
LMST02030185	C11825
LMST02030168	C05498
LMST02030098	C05470
LMST02030146	C05479
LMST05010008	C05504
LMST05010020	C03033
LMST01080113	C17042
LMST04010113	C17657
LMST04010033	C07880
LMST04030114	C17339
LMST02010031	C03935
LMST02020071	C05296
LMST02030096	C03588
LMST02030141	C05487
LMST02030145	C18039
LMST01100011	C02141
LMST02020101	C18045
LMST01080014	C08902
LMST02030264	C05484
LMST02030087	C03205
LMST02030275	C05474
LMST02030292	C14598
LMST02030290	C15368
LMST02030289	C14478
LMST01130023	C16923
LMST04010092	C17737
LMST01010057	C15610
LMST01040144	C11523
LMST02030126	C12888
LMST01120016	C08848
LMST01010206	C05439
LMST01130025	C17072
LMST04010039	C07880
LMST01010069	C01164
LMST03020013	C18230
LMST02020052	C07632
LMST01030135	C15780
LMST02010028	C14209
LMST02030121	C08176
LMST02030103	C07004
LMST01010172	C02513
LMST04010034	C17660
LMST02010004	C00468
LMST02020007	C00280
LMST01040145	C08821
LMST02020067	C05290
LMST01020008	C15441
LMST02030147	C14677
LMST04030168	C15518
LMST04030157	C17336
LMST01120012	C08861
LMST01140002	C11049
LMST02030167	C05485
LMST02030179	C07369
LMST01010205	C03091
LMST01010149	C11455
LMST01031291	C16874
LMST05050024	C16841
LMST01010017	C01724
LMST03020001	C05443
LMST02030001	C00735
LMST04010254	C17651
LMST01030115	C15777
LMST01010096	C03845
LMST01090001	C04715
LMST02030088	C01953
LMST02020057	C03027
LMST01010113	C08803
LMST01010197	C05110
LMST02030181	C04108
LMST04030164	C01301
LMST02030204	C05471
LMST01010341	C17891
LMST05010012	C11134
LMST02030132	C13713
LMST05020003	C03642
LMST02020123	C14552
LMST02020124	C18075
LMST02020125	C14600
LMST02020126	C05285
LMST02020130	C14269
LMST04030123	C05455
LMST02030128	C13358
LMST01010114	C08804
LMST01010121	C05107
LMST01010243	C05416
LMST01010556	C08838
LMST01010561	C16494
LMST01010352	C15337
LMST04010003	C03990
LMST04030112	C05451
LMST04030035	C05454
LMST02030093	C02821
LMST02020059	C04373
LMST02030173	C15484
LMST02030176	C07119
LMST01031018	C04084
LMST02030186	C02140
LMST05030004	C11301
LMST04010036	C17664
LMST04030014	C05446
LMST01030096	C01789
LMST01030099	C15781
LMST01040129	C01753
LMST01010086	C05502
LMST02030125	C12811
LMST01010107	C08797
LMST02030143	C05472
LMST05020016	C18043
LMST01040151	C03910
LMST04030162	C05445
LMST01040153	C08816
LMST01080007	C03963
LMST01120023	C06956
LMST04010040	C04483
LMST01010088	C06340
LMST01030122	C15785
LMST02020074	C08156
LMST01010104	C08794
LMST01010115	C08805
LMST04030170	C17331
LMST01031014	C04416
LMST01031016	C15784
LMST02030174	C00892
LMST01090002	C04859
LMST02030171	C06391
LMST01010208	C04453
LMST01010011	C15992
LMST01010066	C05437
LMST02010032	C05298
LMST01010111	C08801
LMST05010009	C11131
LMST05010011	C11133
LMST05020017	C16261
LMST02030163	C03207
LMST01120017	C08866
LMST05010027	C04806
LMST01010384	C15633
LMST04010044	C17687
LMST04010224	C15375
LMST04030081	C06341
LMST04030135	C05458
LMST02020044	C14490
LMST01130001	C16922
LMST02020018	C14502
LMST01010175	C04840
LMST01070030	C08912
LMST05010055	C03033
LMST01010018	C15519
LMST03020246	C01561
LMST04030173	C16260
LMST05030005	C15559
LMST02020081	C01618
LMST05020020	C02822
LMST05020014	C18044
LMST04030234	C05448
LMST02010043	C02538
LMST01010012	C15632
LMST01030100	C11522
LMST01030095	C04525
LMST03030001	C18192
LMST05010017	C11288
LMST05020007	C08359
LMST01010174	C03238
LMST01120014	C08874
LMST01010195	C08835
LMST02010044	C07254
LMST01010204	C11509
LMST01010098	C12978
LMST02010026	C14392
LMST02010037	C07619
LMST02030091	C01124
LMST01010124	C01943
LMST02030148	C14654
LMST02030164	C06392
LMST02020001	C00523
LMST04010245	C15569
LMST04010101	C17668
LMST01010105	C08795
LMST02020058	C03772
LMST02030119	C08149
LMST05010007	C05503
LMST01120013	C08858
LMST01010207	C04530
LMST01010209	C02633
LMST04030163	C08127
LMST01040255	C08817
LMST05040001	C05122
LMST01010013	C03594
LMST04010220	C11637
LMST03020258	C01673
LMST02010029	C02537
LMST02010039	C12859
LMST05010019	C11346
LMST02030160	C04379
LMST01120019	C08882
LMST01130006	C08868
LMST02020064	C05139
LMST01120010	C08877
LMST02030177	C07120
LMST01010210	C00477
LMST01080019	C16819
LMST01080038	C08909
LMST04030020	C05444
LMST02020005	C04295
LMST01010093	C00187
LMST04030113	C05453
LMST04010241	C15568
LMST02020063	C04844
LMST01010103	C08793
LMST05020018	C16259
LMST01010194	C08819
LMST01120021	C08876
LMST05010026	C04300
LMST02030127	C13037
LMST05020010	C04555
LMST02020061	C04676
LMST02020065	C05140
LMST02030100	C05476
LMST05020006	C08358
LMST02030162	C00891
LMST01010203	C04814
LMST02020085	C00674
LMST01010016	C01802
LMST02020012	C14493
LMST02020029	C07198
LMST04030176	C05499
LMST01010200	C05501
LMST02030182	C03748
LMST05020001	C04555
LMST01010019	C13550
LMST04010107	C17667
LMST01030114	C08813
LMST01040123	C05442
LMST01010052	C05425
LMST02010027	C05301
LMST05040003	C02592
LMST02030161	C01176
LMST02030170	C03681
LMST02010047	C14383
LMST01010002	C15519
LMST01020030	C14641
LMST04010102	C17654
LMST02010003	C05141
LMST02020069	C05293
LMST02020006	C14631
LMST02020056	C01554
LMST01010108	C08798
LMST01010112	C08802
LMST01010116	C08806
LMST05020005	C08357
LMST05010014	C11136
LMST01010182	C16495
LMST01040152	C08810
LMST01120020	C08843
LMST02030180	C07370
LMST01031026	C08823
LMST01160018	C08842
LMST03010001	C05441
LMST04030001	C04722
LMST04010049	C17661
LMST03020222	C07711
LMST01010106	C08796
LMST01010109	C08799
LMST02010007	C14303
LMST02020042	C03917
LMST02020075	C08157
LMST02030104	C07629
LMST01080004	C08896
LMST02030175	C05480
LMST01150015	C10827
LMST02030183	C04518
LMST01080010	C08899
LMST02020062	C04793
LMST04010001	C00695
LMST04010032	C02528
LMST04010035	C17662
LMST05010010	C11132
LMST02030152	C03965
LMST02030166	C05489
LMST05030006	C05464
LMST01120011	C08856
LMST01080037	C08898
LMST01010001	C00187
LMST01010010	C05418
LMST01030098	C08813
LMST01150007	C06543
LMST02010038	C11228
LMST02020105	C14210
LMST05030008	C05466
LMST02020110	C15377
LMST05030001	C01921
LMST04010301	C16258
LMST01030097	C01789
LMST02030118	C08151
LMST02030129	C13422
LMST02030089	C05138
LMST01010110	C08800
LMST01031017	C08829
LMST02020086	C14606
LMST01031020	C11508
LMST05030014	C14594
LMST01040126	C08840
LMST01030093	C01694
LMST01010087	C05109
LMST02030086	C05488
LMST02010036	C07534
LMST02030026	C01780
LMST01020005	C11251
LMST02020087	C14671
LMST02030159	C00410
LMST01120018	C06955
LMST01100010	C11513
LMST02010048	C14441
LMST05010066	C03033
LMST04030109	C05452
LMST01040130	C08836
LMST02030097	C05028
LMST02030090	C00762
LMST02020002	C00535
LMST02030095	C05469
LMST05010013	C11135
LMST02020083	C05297
LMST02030184	C03747
LMST02020021	C01227
LMST02030124	C12724
