LipidMaps	KEGG
LMPK12111329	C10113
LMPK12111473	C09982
LMPK12111503	C14942
LMPK12111508	C10035
LMPK12112041	C10073
LMPK12113149	C02806
LMPK12020046	C09617
LMPK12060024	C10532
LMPK12050372	C10533
LMPK13040002	C10294
LMPK04000038	C11999
LMPK04000024	C11983
LMPK04000033	C11992
LMPK04000035	C11994
LMPK13040009	C10345
LMPK13040014	C10392
LMPK12120397	C02922
LMPK12120428	C10721
LMPK12120525	C00774
LMPK12140018	C14290
LMPK12040010	C10034
LMPK13090035	C10255
LMPK12111163	C17785
LMPK12111654	C11577
LMPK12112517	C10105
LMPK12020084	C10217
LMPK12010158	C16350
LMPK04000039	C12045
LMPK13040004	C10311
LMPK12010115	C16306
LMPK12010447	C12641
LMPK12010030	C12642
LMPK12010031	C16368
LMPK12010032	C16297
LMPK12010042	C12640
LMPK12010110	C08604
LMPK12010135	C12643
LMPK12010280	C16307
LMPK12111744	C12635
LMPK12112105	C12668
LMPK12010157	C12096
LMPK12010299	C08653
LMPK12010304	C16294
LMPK12111554	C10042
LMPK12113403	C03951
LMPK13080001	C02868
LMPK13090001	C01745
LMPK13090003	C11591
LMPK13090002	C10288
LMPK13090007	C10245
LMPK13090008	C10250
LMPK13090039	C10269
LMPK12030006	C09972
LMPK12030009	C10225
LMPK12030015	C10239
LMPK12030014	C10234
