HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
HMDB0075233			CL(i-13:0/a-25:0/i-17:0/i-18:0)[rac]	
HMDB0075234			CL(a-13:0/a-25:0/a-17:0/i-19:0)[rac]	
HMDB0075235			CL(a-13:0/a-25:0/i-17:0/i-19:0)[rac]	
HMDB0075236			CL(i-13:0/a-25:0/a-17:0/i-19:0)[rac]	
HMDB0075237			CL(i-13:0/a-25:0/i-17:0/i-19:0)[rac]	
HMDB0075238			CL(a-13:0/a-25:0/a-17:0/i-20:0)[rac]	
HMDB0075239			CL(a-13:0/a-25:0/i-17:0/i-20:0)[rac]	
HMDB0075240			CL(i-13:0/a-25:0/a-17:0/i-20:0)[rac]	
HMDB0075241			CL(i-13:0/a-25:0/i-17:0/i-20:0)[rac]	
HMDB0075242			CL(a-13:0/a-25:0/a-17:0/a-21:0)[rac]	
HMDB0075243			CL(i-13:0/a-25:0/i-17:0/a-21:0)[rac]	
HMDB0075244			CL(a-13:0/a-25:0/a-17:0/i-21:0)[rac]	
HMDB0075245			CL(a-13:0/a-25:0/i-17:0/i-21:0)[rac]	
HMDB0075246			CL(i-13:0/a-25:0/a-17:0/a-21:0)[rac]	
HMDB0075247			CL(a-13:0/a-25:0/i-17:0/a-21:0)[rac]	
HMDB0075248			CL(i-13:0/a-25:0/a-17:0/i-21:0)[rac]	
HMDB0075249			CL(i-13:0/a-25:0/i-17:0/i-21:0)[rac]	
HMDB0075250			CL(a-13:0/a-25:0/a-17:0/i-22:0)[rac]	
HMDB0075251			CL(a-13:0/a-25:0/i-17:0/i-22:0)[rac]	
HMDB0075252			CL(i-13:0/a-25:0/a-17:0/i-22:0)[rac]	
HMDB0075253			CL(i-13:0/a-25:0/i-17:0/i-22:0)[rac]	
HMDB0075254			CL(a-13:0/a-25:0/a-17:0/i-24:0)[rac]	
HMDB0075255			CL(a-13:0/a-25:0/i-17:0/i-24:0)[rac]	
HMDB0075256			CL(i-13:0/a-25:0/a-17:0/i-24:0)[rac]	
HMDB0075257			CL(i-13:0/a-25:0/i-17:0/i-24:0)[rac]	
HMDB0075258			CL(a-13:0/a-25:0/a-17:0/a-25:0)[rac]	
HMDB0075259			CL(i-13:0/a-25:0/i-17:0/a-25:0)[rac]	
HMDB0075260			CL(i-13:0/a-25:0/a-17:0/a-25:0)[rac]	
HMDB0075261			CL(a-13:0/a-25:0/i-17:0/a-25:0)[rac]	
HMDB0075262			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-12:0)[rac]	
HMDB0075263			CL(a-13:0/a-25:0/i-18:0/i-12:0)[rac]	
HMDB0075264			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-12:0)[rac]	
HMDB0075265			CL(i-13:0/a-25:0/i-18:0/i-12:0)[rac]	
HMDB0075266			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-13:0)[rac]	
HMDB0075267			CL(i-13:0/a-25:0/i-18:0/a-13:0)[rac]	
HMDB0075268			CL(a-13:0/a-25:0/18:2(9Z,11Z)/a-13:0)[rac]	
HMDB0075269			CL(a-13:0/a-25:0/i-18:0/i-13:0)[rac]	
HMDB0075270			CL(a-13:0/a-25:0/i-18:0/a-13:0)[rac]	
HMDB0075271			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-13:0)[rac]	
HMDB0075272			CL(i-13:0/a-25:0/i-18:0/i-13:0)[rac]	
HMDB0075273			CL(i-13:0/a-25:0/18:2(9Z,11Z)/a-13:0)[rac]	
HMDB0075274			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-14:0)[rac]	
HMDB0075275			CL(a-13:0/a-25:0/i-18:0/i-14:0)[rac]	
HMDB0075276			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-14:0)[rac]	
HMDB0075277			CL(i-13:0/a-25:0/i-18:0/i-14:0)[rac]	
HMDB0075278			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-15:0)[rac]	
HMDB0075279			CL(i-13:0/a-25:0/i-18:0/a-15:0)[rac]	
HMDB0075280			CL(a-13:0/a-25:0/18:2(9Z,11Z)/a-15:0)[rac]	
HMDB0075281			CL(a-13:0/a-25:0/i-18:0/i-15:0)[rac]	
HMDB0075282			CL(a-13:0/a-25:0/i-18:0/a-15:0)[rac]	
HMDB0075283			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-15:0)[rac]	
HMDB0075284			CL(i-13:0/a-25:0/i-18:0/i-15:0)[rac]	
HMDB0075285			CL(i-13:0/a-25:0/18:2(9Z,11Z)/a-15:0)[rac]	
HMDB0075286			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-16:0)[rac]	
HMDB0075287			CL(a-13:0/a-25:0/i-18:0/i-16:0)[rac]	
HMDB0075288			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-16:0)[rac]	
HMDB0075289			CL(i-13:0/a-25:0/i-18:0/i-16:0)[rac]	
HMDB0075290			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-17:0)[rac]	
HMDB0075291			CL(i-13:0/a-25:0/i-18:0/a-17:0)[rac]	
HMDB0075292			CL(a-13:0/a-25:0/18:2(9Z,11Z)/a-17:0)[rac]	
HMDB0075293			CL(a-13:0/a-25:0/i-18:0/i-17:0)[rac]	
HMDB0075294			CL(a-13:0/a-25:0/i-18:0/a-17:0)[rac]	
HMDB0075295			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-17:0)[rac]	
HMDB0075296			CL(i-13:0/a-25:0/i-18:0/i-17:0)[rac]	
HMDB0075297			CL(i-13:0/a-25:0/18:2(9Z,11Z)/a-17:0)[rac]	
HMDB0075298			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-18:0)[rac]	
HMDB0075299			CL(i-13:0/a-25:0/i-18:0/18:2(9Z,11Z))[rac]	
HMDB0075300			CL(a-13:0/a-25:0/18:2(9Z,11Z)/18:2(9Z,11Z))[rac]	
HMDB0075301			CL(a-13:0/a-25:0/i-18:0/i-18:0)[rac]	
HMDB0075302			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-18:0)[rac]	
HMDB0075303			CL(a-13:0/a-25:0/i-18:0/18:2(9Z,11Z))[rac]	
HMDB0075304			CL(i-13:0/a-25:0/18:2(9Z,11Z)/18:2(9Z,11Z))[rac]	
HMDB0075305			CL(i-13:0/a-25:0/i-18:0/i-18:0)[rac]	
HMDB0075306			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-19:0)[rac]	
HMDB0075307			CL(a-13:0/a-25:0/i-18:0/i-19:0)[rac]	
HMDB0075308			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-19:0)[rac]	
HMDB0075309			CL(i-13:0/a-25:0/i-18:0/i-19:0)[rac]	
HMDB0075310			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-20:0)[rac]	
HMDB0075311			CL(a-13:0/a-25:0/i-18:0/i-20:0)[rac]	
HMDB0075312			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-20:0)[rac]	
HMDB0075313			CL(i-13:0/a-25:0/i-18:0/i-20:0)[rac]	
HMDB0075314			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-21:0)[rac]	
HMDB0075315			CL(i-13:0/a-25:0/i-18:0/a-21:0)[rac]	
HMDB0075316			CL(a-13:0/a-25:0/18:2(9Z,11Z)/a-21:0)[rac]	
HMDB0075317			CL(a-13:0/a-25:0/i-18:0/i-21:0)[rac]	
HMDB0075318			CL(a-13:0/a-25:0/i-18:0/a-21:0)[rac]	
HMDB0075319			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-21:0)[rac]	
HMDB0075320			CL(i-13:0/a-25:0/i-18:0/i-21:0)[rac]	
HMDB0075321			CL(i-13:0/a-25:0/18:2(9Z,11Z)/a-21:0)[rac]	
HMDB0075322			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-22:0)[rac]	
HMDB0075323			CL(a-13:0/a-25:0/i-18:0/i-22:0)[rac]	
HMDB0075324			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-22:0)[rac]	
HMDB0075325			CL(i-13:0/a-25:0/i-18:0/i-22:0)[rac]	
HMDB0075326			CL(i-13:0/a-25:0/18:2(9Z,11Z)/i-24:0)[rac]	
HMDB0075327			CL(a-13:0/a-25:0/i-18:0/i-24:0)[rac]	
HMDB0075328			CL(a-13:0/a-25:0/18:2(9Z,11Z)/i-24:0)[rac]	
HMDB0075329			CL(i-13:0/a-25:0/i-18:0/i-24:0)[rac]	
HMDB0075330			CL(i-13:0/a-25:0/i-18:0/a-25:0)[rac]	
HMDB0075331			CL(a-13:0/a-25:0/18:2(9Z,11Z)/a-25:0)[rac]	
HMDB0075332			CL(a-13:0/a-25:0/i-18:0/a-25:0)[rac]	
HMDB0075333			CL(i-13:0/a-25:0/18:2(9Z,11Z)/a-25:0)[rac]	
HMDB0075334			CL(a-13:0/a-25:0/i-19:0/i-12:0)[rac]	
HMDB0075335			CL(i-13:0/a-25:0/i-19:0/i-12:0)[rac]	
HMDB0075336			CL(i-13:0/a-25:0/i-19:0/a-13:0)[rac]	
HMDB0075337			CL(a-13:0/a-25:0/i-19:0/i-13:0)[rac]	
HMDB0075338			CL(a-13:0/a-25:0/i-19:0/a-13:0)[rac]	
HMDB0075339			CL(i-13:0/a-25:0/i-19:0/i-13:0)[rac]	
HMDB0075340			CL(a-13:0/a-25:0/i-19:0/i-14:0)[rac]	
HMDB0075341			CL(i-13:0/a-25:0/i-19:0/i-14:0)[rac]	
HMDB0075342			CL(i-13:0/a-25:0/i-19:0/a-15:0)[rac]	
HMDB0075343			CL(a-13:0/a-25:0/i-19:0/i-15:0)[rac]	
HMDB0075344			CL(a-13:0/a-25:0/i-19:0/a-15:0)[rac]	
HMDB0075345			CL(i-13:0/a-25:0/i-19:0/i-15:0)[rac]	
HMDB0075346			CL(a-13:0/a-25:0/i-19:0/i-16:0)[rac]	
HMDB0075347			CL(i-13:0/a-25:0/i-19:0/i-16:0)[rac]	
HMDB0075348			CL(i-13:0/a-25:0/i-19:0/a-17:0)[rac]	
HMDB0075349			CL(a-13:0/a-25:0/i-19:0/i-17:0)[rac]	
HMDB0075350			CL(a-13:0/a-25:0/i-19:0/a-17:0)[rac]	
HMDB0075351			CL(i-13:0/a-25:0/i-19:0/i-17:0)[rac]	
HMDB0075352			CL(i-13:0/a-25:0/i-19:0/18:2(9Z,11Z))[rac]	
HMDB0075353			CL(a-13:0/a-25:0/i-19:0/i-18:0)[rac]	
HMDB0075354			CL(a-13:0/a-25:0/i-19:0/18:2(9Z,11Z))[rac]	
HMDB0075355			CL(i-13:0/a-25:0/i-19:0/i-18:0)[rac]	
HMDB0075356			CL(a-13:0/a-25:0/i-19:0/i-19:0)[rac]	
HMDB0075357			CL(i-13:0/a-25:0/i-19:0/i-19:0)[rac]	
HMDB0075358			CL(a-13:0/a-25:0/i-19:0/i-20:0)[rac]	
HMDB0075359			CL(i-13:0/a-25:0/i-19:0/i-20:0)[rac]	
HMDB0075360			CL(i-13:0/a-25:0/i-19:0/a-21:0)[rac]	
HMDB0075361			CL(a-13:0/a-25:0/i-19:0/i-21:0)[rac]	
HMDB0075362			CL(a-13:0/a-25:0/i-19:0/a-21:0)[rac]	
HMDB0075363			CL(i-13:0/a-25:0/i-19:0/i-21:0)[rac]	
HMDB0075364			CL(a-13:0/a-25:0/i-19:0/i-22:0)[rac]	
HMDB0075365			CL(i-13:0/a-25:0/i-19:0/i-22:0)[rac]	
HMDB0075366			CL(a-13:0/a-25:0/i-19:0/i-24:0)[rac]	
HMDB0075367			CL(i-13:0/a-25:0/i-19:0/i-24:0)[rac]	
HMDB0075368			CL(i-13:0/a-25:0/i-19:0/a-25:0)[rac]	
HMDB0075369			CL(a-13:0/a-25:0/i-19:0/a-25:0)[rac]	
HMDB0075370			CL(a-13:0/a-25:0/i-20:0/i-12:0)[rac]	
HMDB0075371			CL(i-13:0/a-25:0/i-20:0/i-12:0)[rac]	
HMDB0075372			CL(i-13:0/a-25:0/i-20:0/a-13:0)[rac]	
HMDB0075373			CL(a-13:0/a-25:0/i-20:0/i-13:0)[rac]	
HMDB0075374			CL(a-13:0/a-25:0/i-20:0/a-13:0)[rac]	
HMDB0075375			CL(i-13:0/a-25:0/i-20:0/i-13:0)[rac]	
HMDB0075376			CL(a-13:0/a-25:0/i-20:0/i-14:0)[rac]	
HMDB0075377			CL(i-13:0/a-25:0/i-20:0/i-14:0)[rac]	
HMDB0075378			CL(i-13:0/a-25:0/i-20:0/a-15:0)[rac]	
HMDB0075379			CL(a-13:0/a-25:0/i-20:0/i-15:0)[rac]	
HMDB0075380			CL(a-13:0/a-25:0/i-20:0/a-15:0)[rac]	
HMDB0075381			CL(i-13:0/a-25:0/i-20:0/i-15:0)[rac]	
HMDB0075382			CL(a-13:0/a-25:0/i-20:0/i-16:0)[rac]	
HMDB0075383			CL(i-13:0/a-25:0/i-20:0/i-16:0)[rac]	
HMDB0075384			CL(i-13:0/a-25:0/i-20:0/a-17:0)[rac]	
HMDB0075385			CL(a-13:0/a-25:0/i-20:0/i-17:0)[rac]	
HMDB0075386			CL(a-13:0/a-25:0/i-20:0/a-17:0)[rac]	
HMDB0075387			CL(i-13:0/a-25:0/i-20:0/i-17:0)[rac]	
HMDB0075388			CL(i-13:0/a-25:0/i-20:0/18:2(9Z,11Z))[rac]	
HMDB0075389			CL(a-13:0/a-25:0/i-20:0/i-18:0)[rac]	
HMDB0075390			CL(a-13:0/a-25:0/i-20:0/18:2(9Z,11Z))[rac]	
HMDB0075391			CL(i-13:0/a-25:0/i-20:0/i-18:0)[rac]	
HMDB0075392			CL(a-13:0/a-25:0/i-20:0/i-19:0)[rac]	
HMDB0075393			CL(i-13:0/a-25:0/i-20:0/i-19:0)[rac]	
HMDB0075394			CL(a-13:0/a-25:0/i-20:0/i-20:0)[rac]	
HMDB0075395			CL(i-13:0/a-25:0/i-20:0/i-20:0)[rac]	
HMDB0075396			CL(i-13:0/a-25:0/i-20:0/a-21:0)[rac]	
HMDB0075397			CL(a-13:0/a-25:0/i-20:0/i-21:0)[rac]	
HMDB0075398			CL(a-13:0/a-25:0/i-20:0/a-21:0)[rac]	
HMDB0075399			CL(i-13:0/a-25:0/i-20:0/i-21:0)[rac]	
HMDB0075400			CL(a-13:0/a-25:0/i-20:0/i-22:0)[rac]	
HMDB0075401			CL(i-13:0/a-25:0/i-20:0/i-22:0)[rac]	
HMDB0075402			CL(a-13:0/a-25:0/i-20:0/i-24:0)[rac]	
HMDB0075403			CL(i-13:0/a-25:0/i-20:0/i-24:0)[rac]	
HMDB0075404			CL(i-13:0/a-25:0/i-20:0/a-25:0)[rac]	
HMDB0075405			CL(a-13:0/a-25:0/i-20:0/a-25:0)[rac]	
HMDB0075406			CL(a-13:0/a-25:0/a-21:0/i-12:0)[rac]	
HMDB0075407			CL(a-13:0/a-25:0/i-21:0/i-12:0)[rac]	
HMDB0075408			CL(i-13:0/a-25:0/a-21:0/i-12:0)[rac]	
HMDB0075409			CL(i-13:0/a-25:0/i-21:0/i-12:0)[rac]	
HMDB0075410			CL(a-13:0/a-25:0/a-21:0/a-13:0)[rac]	
HMDB0075411			CL(i-13:0/a-25:0/i-21:0/a-13:0)[rac]	
HMDB0075412			CL(a-13:0/a-25:0/a-21:0/i-13:0)[rac]	
HMDB0075413			CL(a-13:0/a-25:0/i-21:0/i-13:0)[rac]	
HMDB0075414			CL(a-13:0/a-25:0/i-21:0/a-13:0)[rac]	
HMDB0075415			CL(i-13:0/a-25:0/a-21:0/i-13:0)[rac]	
HMDB0075416			CL(i-13:0/a-25:0/i-21:0/i-13:0)[rac]	
HMDB0075417			CL(a-13:0/a-25:0/a-21:0/i-14:0)[rac]	
HMDB0075418			CL(a-13:0/a-25:0/i-21:0/i-14:0)[rac]	
HMDB0075419			CL(i-13:0/a-25:0/a-21:0/i-14:0)[rac]	
HMDB0075420			CL(i-13:0/a-25:0/i-21:0/i-14:0)[rac]	
HMDB0075421			CL(a-13:0/a-25:0/a-21:0/a-15:0)[rac]	
HMDB0075422			CL(i-13:0/a-25:0/i-21:0/a-15:0)[rac]	
HMDB0075423			CL(a-13:0/a-25:0/a-21:0/i-15:0)[rac]	
HMDB0075424			CL(a-13:0/a-25:0/i-21:0/i-15:0)[rac]	
HMDB0075425			CL(i-13:0/a-25:0/a-21:0/a-15:0)[rac]	
HMDB0075426			CL(a-13:0/a-25:0/i-21:0/a-15:0)[rac]	
HMDB0075427			CL(i-13:0/a-25:0/a-21:0/i-15:0)[rac]	
HMDB0075428			CL(i-13:0/a-25:0/i-21:0/i-15:0)[rac]	
HMDB0075429			CL(a-13:0/a-25:0/a-21:0/i-16:0)[rac]	
HMDB0075430			CL(a-13:0/a-25:0/i-21:0/i-16:0)[rac]	
HMDB0075431			CL(i-13:0/a-25:0/a-21:0/i-16:0)[rac]	
HMDB0075432			CL(i-13:0/a-25:0/i-21:0/i-16:0)[rac]	
HMDB0075433			CL(a-13:0/a-25:0/a-21:0/a-17:0)[rac]	
HMDB0075434			CL(i-13:0/a-25:0/i-21:0/a-17:0)[rac]	
HMDB0075435			CL(a-13:0/a-25:0/a-21:0/i-17:0)[rac]	
HMDB0075436			CL(a-13:0/a-25:0/i-21:0/i-17:0)[rac]	
HMDB0075437			CL(i-13:0/a-25:0/a-21:0/a-17:0)[rac]	
HMDB0075438			CL(a-13:0/a-25:0/i-21:0/a-17:0)[rac]	
HMDB0075439			CL(i-13:0/a-25:0/a-21:0/i-17:0)[rac]	
HMDB0075440			CL(i-13:0/a-25:0/i-21:0/i-17:0)[rac]	
HMDB0075441			CL(a-13:0/a-25:0/a-21:0/18:2(9Z,11Z))[rac]	
HMDB0075442			CL(i-13:0/a-25:0/i-21:0/18:2(9Z,11Z))[rac]	
HMDB0075443			CL(a-13:0/a-25:0/a-21:0/i-18:0)[rac]	
HMDB0075444			CL(a-13:0/a-25:0/i-21:0/i-18:0)[rac]	
HMDB0075445			CL(i-13:0/a-25:0/a-21:0/18:2(9Z,11Z))[rac]	
HMDB0075446			CL(a-13:0/a-25:0/i-21:0/18:2(9Z,11Z))[rac]	
HMDB0075447			CL(i-13:0/a-25:0/a-21:0/i-18:0)[rac]	
HMDB0075448			CL(i-13:0/a-25:0/i-21:0/i-18:0)[rac]	
HMDB0075449			CL(a-13:0/a-25:0/a-21:0/i-19:0)[rac]	
HMDB0075450			CL(a-13:0/a-25:0/i-21:0/i-19:0)[rac]	
HMDB0075451			CL(i-13:0/a-25:0/a-21:0/i-19:0)[rac]	
HMDB0075452			CL(i-13:0/a-25:0/i-21:0/i-19:0)[rac]	
HMDB0075453			CL(a-13:0/a-25:0/a-21:0/i-20:0)[rac]	
HMDB0075454			CL(a-13:0/a-25:0/i-21:0/i-20:0)[rac]	
HMDB0075455			CL(i-13:0/a-25:0/a-21:0/i-20:0)[rac]	
HMDB0075456			CL(i-13:0/a-25:0/i-21:0/i-20:0)[rac]	
HMDB0075457			CL(a-13:0/a-25:0/a-21:0/a-21:0)[rac]	
HMDB0075458			CL(i-13:0/a-25:0/i-21:0/a-21:0)[rac]	
HMDB0075459			CL(a-13:0/a-25:0/a-21:0/i-21:0)[rac]	
HMDB0075460			CL(a-13:0/a-25:0/i-21:0/i-21:0)[rac]	
HMDB0075461			CL(i-13:0/a-25:0/a-21:0/a-21:0)[rac]	
HMDB0075462			CL(a-13:0/a-25:0/i-21:0/a-21:0)[rac]	
HMDB0075463			CL(i-13:0/a-25:0/a-21:0/i-21:0)[rac]	
HMDB0075464			CL(i-13:0/a-25:0/i-21:0/i-21:0)[rac]	
HMDB0075465			CL(a-13:0/a-25:0/a-21:0/i-22:0)[rac]	
HMDB0075466			CL(a-13:0/a-25:0/i-21:0/i-22:0)[rac]	
HMDB0075467			CL(i-13:0/a-25:0/a-21:0/i-22:0)[rac]	
HMDB0075468			CL(i-13:0/a-25:0/i-21:0/i-22:0)[rac]	
HMDB0075469			CL(a-13:0/a-25:0/a-21:0/i-24:0)[rac]	
HMDB0075470			CL(a-13:0/a-25:0/i-21:0/i-24:0)[rac]	
HMDB0075471			CL(i-13:0/a-25:0/a-21:0/i-24:0)[rac]	
HMDB0075472			CL(i-13:0/a-25:0/i-21:0/i-24:0)[rac]	
HMDB0075473			CL(a-13:0/a-25:0/a-21:0/a-25:0)[rac]	
HMDB0075474			CL(i-13:0/a-25:0/i-21:0/a-25:0)[rac]	
HMDB0075475			CL(i-13:0/a-25:0/a-21:0/a-25:0)[rac]	
HMDB0075476			CL(a-13:0/a-25:0/i-21:0/a-25:0)[rac]	
HMDB0075477			CL(a-13:0/a-25:0/i-22:0/i-12:0)[rac]	
HMDB0075478			CL(i-13:0/a-25:0/i-22:0/i-12:0)[rac]	
HMDB0075479			CL(i-13:0/a-25:0/i-22:0/a-13:0)[rac]	
HMDB0075480			CL(a-13:0/a-25:0/i-22:0/i-13:0)[rac]	
HMDB0075481			CL(a-13:0/a-25:0/i-22:0/a-13:0)[rac]	
HMDB0075482			CL(i-13:0/a-25:0/i-22:0/i-13:0)[rac]	
HMDB0075483			CL(a-13:0/a-25:0/i-22:0/i-14:0)[rac]	
HMDB0075484			CL(i-13:0/a-25:0/i-22:0/i-14:0)[rac]	
HMDB0075485			CL(i-13:0/a-25:0/i-22:0/a-15:0)[rac]	
HMDB0075486			CL(a-13:0/a-25:0/i-22:0/i-15:0)[rac]	
HMDB0075487			CL(a-13:0/a-25:0/i-22:0/a-15:0)[rac]	
HMDB0075488			CL(i-13:0/a-25:0/i-22:0/i-15:0)[rac]	
HMDB0075489			CL(a-13:0/a-25:0/i-22:0/i-16:0)[rac]	
HMDB0075490			CL(i-13:0/a-25:0/i-22:0/i-16:0)[rac]	
HMDB0075491			CL(i-13:0/a-25:0/i-22:0/a-17:0)[rac]	
HMDB0075492			CL(a-13:0/a-25:0/i-22:0/i-17:0)[rac]	
HMDB0075493			CL(a-13:0/a-25:0/i-22:0/a-17:0)[rac]	
HMDB0075494			CL(i-13:0/a-25:0/i-22:0/i-17:0)[rac]	
HMDB0075495			CL(i-13:0/a-25:0/i-22:0/18:2(9Z,11Z))[rac]	
HMDB0075496			CL(a-13:0/a-25:0/i-22:0/i-18:0)[rac]	
HMDB0075497			CL(a-13:0/a-25:0/i-22:0/18:2(9Z,11Z))[rac]	
HMDB0075498			CL(i-13:0/a-25:0/i-22:0/i-18:0)[rac]	
HMDB0075499			CL(a-13:0/a-25:0/i-22:0/i-19:0)[rac]	
HMDB0075500			CL(i-13:0/a-25:0/i-22:0/i-19:0)[rac]	
HMDB0075501			CL(a-13:0/a-25:0/i-22:0/i-20:0)[rac]	
HMDB0075502			CL(i-13:0/a-25:0/i-22:0/i-20:0)[rac]	
HMDB0075503			CL(i-13:0/a-25:0/i-22:0/a-21:0)[rac]	
HMDB0075504			CL(a-13:0/a-25:0/i-22:0/i-21:0)[rac]	
HMDB0075505			CL(a-13:0/a-25:0/i-22:0/a-21:0)[rac]	
HMDB0075506			CL(i-13:0/a-25:0/i-22:0/i-21:0)[rac]	
HMDB0075507			CL(a-13:0/a-25:0/i-22:0/i-22:0)[rac]	
HMDB0075508			CL(i-13:0/a-25:0/i-22:0/i-22:0)[rac]	
HMDB0075509			CL(a-13:0/a-25:0/i-22:0/i-24:0)[rac]	
HMDB0075510			CL(i-13:0/a-25:0/i-22:0/i-24:0)[rac]	
HMDB0075511			CL(i-13:0/a-25:0/i-22:0/a-25:0)[rac]	
HMDB0075512			CL(a-13:0/a-25:0/i-22:0/a-25:0)[rac]	
HMDB0075513			CL(a-13:0/a-25:0/i-24:0/i-12:0)[rac]	
HMDB0075514			CL(i-13:0/a-25:0/i-24:0/i-12:0)[rac]	
HMDB0075515			CL(i-13:0/a-25:0/i-24:0/a-13:0)[rac]	
HMDB0075516			CL(a-13:0/a-25:0/i-24:0/i-13:0)[rac]	
HMDB0075517			CL(a-13:0/a-25:0/i-24:0/a-13:0)[rac]	
HMDB0075518			CL(i-13:0/a-25:0/i-24:0/i-13:0)[rac]	
HMDB0075519			CL(a-13:0/a-25:0/i-24:0/i-14:0)[rac]	
HMDB0075520			CL(i-13:0/a-25:0/i-24:0/i-14:0)[rac]	
HMDB0075521			CL(i-13:0/a-25:0/i-24:0/a-15:0)[rac]	
HMDB0075522			CL(a-13:0/a-25:0/i-24:0/i-15:0)[rac]	
HMDB0075523			CL(a-13:0/a-25:0/i-24:0/a-15:0)[rac]	
HMDB0075524			CL(i-13:0/a-25:0/i-24:0/i-15:0)[rac]	
HMDB0075525			CL(a-13:0/a-25:0/i-24:0/i-16:0)[rac]	
HMDB0075526			CL(i-13:0/a-25:0/i-24:0/i-16:0)[rac]	
HMDB0075527			CL(i-13:0/a-25:0/i-24:0/a-17:0)[rac]	
HMDB0075528			CL(a-13:0/a-25:0/i-24:0/i-17:0)[rac]	
HMDB0075529			CL(a-13:0/a-25:0/i-24:0/a-17:0)[rac]	
HMDB0075530			CL(i-13:0/a-25:0/i-24:0/i-17:0)[rac]	
HMDB0075531			CL(i-13:0/a-25:0/i-24:0/18:2(9Z,11Z))[rac]	
HMDB0075532			CL(a-13:0/a-25:0/i-24:0/i-18:0)[rac]	
HMDB0075533			CL(a-13:0/a-25:0/i-24:0/18:2(9Z,11Z))[rac]	
HMDB0075534			CL(i-13:0/a-25:0/i-24:0/i-18:0)[rac]	
HMDB0075535			CL(a-13:0/a-25:0/i-24:0/i-19:0)[rac]	
HMDB0075536			CL(i-13:0/a-25:0/i-24:0/i-19:0)[rac]	
HMDB0075537			CL(a-13:0/a-25:0/i-24:0/i-20:0)[rac]	
HMDB0075538			CL(i-13:0/a-25:0/i-24:0/i-20:0)[rac]	
HMDB0075539			CL(i-13:0/a-25:0/i-24:0/a-21:0)[rac]	
HMDB0075540			CL(a-13:0/a-25:0/i-24:0/i-21:0)[rac]	
HMDB0075541			CL(a-13:0/a-25:0/i-24:0/a-21:0)[rac]	
HMDB0075542			CL(i-13:0/a-25:0/i-24:0/i-21:0)[rac]	
HMDB0075543			CL(a-13:0/a-25:0/i-24:0/i-22:0)[rac]	
HMDB0075544			CL(i-13:0/a-25:0/i-24:0/i-22:0)[rac]	
HMDB0075545			CL(a-13:0/a-25:0/i-24:0/i-24:0)[rac]	
HMDB0075546			CL(i-13:0/a-25:0/i-24:0/i-24:0)[rac]	
HMDB0075547			CL(i-13:0/a-25:0/i-24:0/a-25:0)[rac]	
HMDB0075548			CL(a-13:0/a-25:0/i-24:0/a-25:0)[rac]	
HMDB0075549			CL(a-13:0/a-25:0/a-25:0/i-12:0)[rac]	
HMDB0075550			CL(i-13:0/a-25:0/a-25:0/i-12:0)[rac]	
HMDB0075551			CL(a-13:0/a-25:0/a-25:0/a-13:0)[rac]	
HMDB0075552			CL(a-13:0/a-25:0/a-25:0/i-13:0)[rac]	
HMDB0075553			CL(i-13:0/a-25:0/a-25:0/a-13:0)[rac]	
HMDB0075554			CL(i-13:0/a-25:0/a-25:0/i-13:0)[rac]	
HMDB0075555			CL(a-13:0/a-25:0/a-25:0/i-14:0)[rac]	
HMDB0075556			CL(i-13:0/a-25:0/a-25:0/i-14:0)[rac]	
HMDB0075557			CL(a-13:0/a-25:0/a-25:0/a-15:0)[rac]	
HMDB0075558			CL(a-13:0/a-25:0/a-25:0/i-15:0)[rac]	
HMDB0075559			CL(i-13:0/a-25:0/a-25:0/a-15:0)[rac]	
HMDB0075560			CL(i-13:0/a-25:0/a-25:0/i-15:0)[rac]	
HMDB0075561			CL(a-13:0/a-25:0/a-25:0/i-16:0)[rac]	
HMDB0075562			CL(i-13:0/a-25:0/a-25:0/i-16:0)[rac]	
HMDB0075563			CL(a-13:0/a-25:0/a-25:0/a-17:0)[rac]	
HMDB0075564			CL(a-13:0/a-25:0/a-25:0/i-17:0)[rac]	
