HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA13010027		1-(O-alpha-D-glucopyranosyl)-25-keto-(1,3R,27R)-octacosanetriol
		LMFA13010026		1-(O-alpha-D-glucopyranosyl)-(1,3S,27R)-octacosanetriol
		LMFA13010025		1-(O-alpha-D-glucopyranosyl)-(1,3S,25R)-hexacosanetriol
		LMFA13010024		1-(O-alpha-D-galactopyranosyl)-3-keto-(1,27R,29R)-triacontanetriol
		LMFA13010023		1-(O-alpha-D-glucopyranosyl)-3-keto-(1,25R,27R)-octacosanetriol
		LMFA13010022		1-(O-alpha-D-glucopyranosyl)-3-keto-(1,27R,29R)-triacontanetriol
		LMFA13010020		1-(O-alpha-D-glucopyranosyl)-3-keto-(1,25R)-hexacosanediol
		LMFA13010019		1-(O-alpha-D-glucopyranosyl)-3-keto-(1,27R)-octacosanediol
		LMFA13010017		1-(O-alpha-D-glucopyranosyl)-(1,3R,29S,31R)-dotriacontanetetrol
		LMFA13010016		1-(O-alpha-D-mannopyranosyl)-(1,3R,25S,27R)-octacosanetetrol
		LMFA01140036		Manaoic acid
		LMFA01140061		Amphimic acid B
		LMFA01140060		Amphimic acid C
		LMFA01140059		Amphimic acid A
		LMFA08020220		N-oleyl-Ala-His
		LMFA01031036		Nemotinic acid
		LMFA01090097		6-bromo-25-methyl-hexacosa-5E,9Z-dienoic acid
		LMFA11000273		14-Methyl-1-octadecene
		LMFA01070030		5,6-Epoxyoctadeca-7,9-diynoic acid
		LMFA05000730		Dendrotrifidiol
		LMFA01030738		5Z-Octadecene-7,9-diynoic acid
		LMFA01030737		5E-Octadecene-7,9-diynoic acid
		LMFA01031245		15:6(2E,4E,6Z,8E,12E,14)(6Me,10Me[S],8Me,13Me)
		LMFA08040070		Rehmagluamide
		LMFA03100038		15-isoLG hydroxylactam-ethanolamine
		LMFA08020317		Nonivamide
		LMFA08020319		Nordihydrocapsaicin
		LMFA06000279		7Z,10Z-Hexadecadienal
		LMFA01031244		14:4(2E,4E,8E,10E)(4Me,6Me[S],12Me[S])
		LMFA02000387		Plasmodiophorol B
		LMFA08020321		Tetrahydrobungeanool
		LMFA08020322		
		LMFA08020323		Isobungeanool
		LMFA08020324		Bungeanool
		LMFA08020326		Hydroxy-alpha-sanshool
		LMFA08020327		Hydroxy-beta-sanshool
		LMFA12000378		
		LMFA06000280		2-chlorostearaldehyde
