compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid	HMDB0000340			LMST04010126
2-Octenedioic acid	HMDB0000341			
2-Hydroxyestrone	HMDB0000343	C05298	2-Hydroxyestrone	LMST02010032
2-Methoxyestradiol-3-methylether	HMDB0000344		2-Methoxyestradiol-3-methylether	LMST02010052
3-Hydroxyadipic acid	HMDB0000345		3-hydroxy-adipic acid	LMFA01170088
3-Deoxyarabinohexonic acid	HMDB0000346			
16b-Hydroxyestradiol	HMDB0000347		16-Epiestriol	LMST02010006
3b,12a-Dihydroxy-5a-cholanoic acid	HMDB0000348			LMST04010046
Erythrono-1,4-lactone	HMDB0000349			
3-Hydroxysebacic acid	HMDB0000350		3-hydroxy-sebacic acid	LMFA01170092
(2S,3R)-3-Hydroxy-2-methylbutanoic acid	HMDB0000351		3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid	LMFA01050491
16a-Hydroxydehydroisoandrosterone	HMDB0000352	C05139	16alpha-Hydroxydehydroepiandrosterone	LMST02020064
3b,15b,17a-Trihydroxy-pregnenone	HMDB0000353			
2-Methyl-3-hydroxybutyric acid	HMDB0000354		2-methyl-3-hydroxybutyric acid	LMFA01050391
3-Hydroxymethylglutaric acid	HMDB0000355	C03761		
17-Epiestriol	HMDB0000356			
	HMDB0000357	C01089	D(-)-beta-hydroxy butyric acid	LMFA01050005
3alpha,7alpha-Dihydroxycoprostanic acid	HMDB0000359			LMST04030066
2,4-Dihydroxybutanoic acid	HMDB0000360		2,4-dihydroxy-butanoic acid	LMFA01050385
3b,7a-Dihydroxy-5b-cholanoic acid	HMDB0000361	C17660	Isochenodeoxycholic acid	LMST04010034
2-Phosphoglyceric acid	HMDB0000362			
17a-Hydroxypregnenolone	HMDB0000363	C05138	17alpha-hydroxypregnenolone	LMST02030089
3a,6a,7b-Trihydroxy-5b-cholanoic acid	HMDB0000364	C17727	omega-muricholic acid	LMST04010065
Epiandrosterone	HMDB0000365	C07635		
2-Deoxyribonic acid	HMDB0000366		2-Deoxyribonic acid	LMFA01050477
3a,6b,7b,12a-Tetrahydroxy-5b-cholanoic acid	HMDB0000367			LMST04010121
2(R)-Hydroxyadipic acid	HMDB0000368			
3b,17b-Dihydroxyetiocholane	HMDB0000369			
2-Amino-3-phosphonopropionic acid	HMDB0000370	C05672		
1,3,12-Trihydroxycholan-24-oic acid	HMDB0000371			
16-Oxoestrone	HMDB0000372	C14441		
17-Hydroxyprogesterone	HMDB0000374	C01176	17alpha-hydroxyprogesterone	LMST02030161
3-(3-Hydroxyphenyl)propanoic acid	HMDB0000375	C11457		
3b,7a,12a-Trihydroxy-5a-Cholanoic acid	HMDB0000376			LMST04010094
3a,6b,7b,12b-Tetrahydroxy-5b-cholanoic acid	HMDB0000377			LMST04010123
2-Methylbutyroylcarnitine	HMDB0000378		2-Methylbutyroylcarnitine	LMFA07070034
2-Methylcitric acid	HMDB0000379			
2-Hydroxyestradiol-3-methyl ether	HMDB0000380		2-Hydroxyestradiol-3-methyl ether	LMST02010051
Allolithocholic acid	HMDB0000381			
3a,17a-Dihydroxy-5b-androstane	HMDB0000383	C07632		
3a,7a-Dihydroxycholanoic acid	HMDB0000384			
12a-Hydroxy-3-oxocholadienic acid	HMDB0000385			
3-Hydroxydodecanoic acid	HMDB0000387		beta-hydroxylauric acid	LMFA01050037
2'-Deoxysepiapterin	HMDB0000389			
3a,7b,12b-Trihydroxy-5b-cholanoic acid	HMDB0000390			LMST04010089
7-Ketodeoxycholic acid	HMDB0000391		7-Ketodeoxycholic acid	LMST04010184
2-Octenoic acid	HMDB0000392		cis-alpha-octenoic acid	LMFA01030017
3-Hexenedioic acid	HMDB0000393		3-hexenedioic acid	LMFA01170087
3-Hydroxytetradecanedioic acid	HMDB0000394		3-hydroxy-tetradecanedioic acid	LMFA01170094
3b,7b,12a-Trihydroxy-5b-cholanoic acid	HMDB0000395		Isoursodeoxycholic acid 	LMST04010090
2-Ethylhydracrylic acid	HMDB0000396		2-ethyl-hydracrylic acid	LMFA01050388
2-Pyrocatechuic acid	HMDB0000397	C00196		
3-Oxoadipic acid	HMDB0000398	C00846	3-oxo-adipic acid	LMFA01170096
