compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
CL(8:0/10:0/i-15:0/i-17:0)	HMDB0117751			
CL(8:0/10:0/i-15:0/18:0)	HMDB0117752			
CL(8:0/10:0/i-15:0/i-18:0)	HMDB0117753			
CL(8:0/10:0/i-15:0/18:2(9Z,11Z))	HMDB0117754			
CL(8:0/10:0/i-15:0/19:0)	HMDB0117755			
CL(8:0/10:0/i-15:0/i-19:0)	HMDB0117756			
CL(8:0/10:0/i-15:0/20:0)	HMDB0117757			
CL(8:0/10:0/i-15:0/i-20:0)	HMDB0117758			
CL(8:0/10:0/i-15:0/21:0)	HMDB0117759			
CL(8:0/10:0/i-15:0/a-21:0)	HMDB0117760			
CL(8:0/10:0/i-15:0/i-21:0)	HMDB0117761			
CL(8:0/10:0/i-15:0/22:0)	HMDB0117762			
CL(8:0/10:0/i-15:0/i-22:0)	HMDB0117763			
CL(8:0/10:0/i-15:0/23:0)	HMDB0117764			
CL(8:0/10:0/i-15:0/24:0)	HMDB0117765			
CL(8:0/10:0/i-15:0/i-24:0)	HMDB0117766			
CL(8:0/10:0/i-15:0/25:0)	HMDB0117767			
CL(8:0/10:0/i-15:0/a-25:0)	HMDB0117768			
CL(8:0/10:0/16:0/16:0)	HMDB0117769			
CL(8:0/10:0/16:0/i-16:0)	HMDB0117770			
CL(8:0/10:0/16:0/17:0)	HMDB0117771			
CL(8:0/10:0/16:0/a-17:0)	HMDB0117772			
CL(8:0/10:0/16:0/i-17:0)	HMDB0117773			
CL(8:0/10:0/16:0/18:0)	HMDB0117774			
CL(8:0/10:0/16:0/i-18:0)	HMDB0117775			
CL(8:0/10:0/16:0/18:2(9Z,11Z))	HMDB0117776			
CL(8:0/10:0/16:0/19:0)	HMDB0117777			
CL(8:0/10:0/16:0/i-19:0)	HMDB0117778			
CL(8:0/10:0/16:0/20:0)	HMDB0117779			
CL(8:0/10:0/16:0/i-20:0)	HMDB0117780			
CL(8:0/10:0/16:0/21:0)	HMDB0117781			
CL(8:0/10:0/16:0/a-21:0)	HMDB0117782			
CL(8:0/10:0/16:0/i-21:0)	HMDB0117783			
CL(8:0/10:0/16:0/22:0)	HMDB0117784			
CL(8:0/10:0/16:0/i-22:0)	HMDB0117785			
CL(8:0/10:0/16:0/23:0)	HMDB0117786			
CL(8:0/10:0/16:0/24:0)	HMDB0117787			
CL(8:0/10:0/16:0/i-24:0)	HMDB0117788			
CL(8:0/10:0/16:0/25:0)	HMDB0117789			
CL(8:0/10:0/16:0/a-25:0)	HMDB0117790			
CL(8:0/10:0/i-16:0/i-16:0)	HMDB0117791			
CL(8:0/10:0/i-16:0/17:0)	HMDB0117792			
CL(8:0/10:0/i-16:0/a-17:0)	HMDB0117793			
CL(8:0/10:0/i-16:0/i-17:0)	HMDB0117794			
CL(8:0/10:0/i-16:0/18:0)	HMDB0117795			
CL(8:0/10:0/i-16:0/i-18:0)	HMDB0117796			
CL(8:0/10:0/i-16:0/18:2(9Z,11Z))	HMDB0117797			
CL(8:0/10:0/i-16:0/19:0)	HMDB0117798			
CL(8:0/10:0/i-16:0/i-19:0)	HMDB0117799			
CL(8:0/10:0/i-16:0/20:0)	HMDB0117800			
CL(8:0/10:0/i-16:0/i-20:0)	HMDB0117801			
CL(8:0/10:0/i-16:0/21:0)	HMDB0117802			
CL(8:0/10:0/i-16:0/a-21:0)	HMDB0117803			
CL(8:0/10:0/i-16:0/i-21:0)	HMDB0117804			
CL(8:0/10:0/i-16:0/22:0)	HMDB0117805			
CL(8:0/10:0/i-16:0/i-22:0)	HMDB0117806			
CL(8:0/10:0/i-16:0/23:0)	HMDB0117807			
CL(8:0/10:0/i-16:0/24:0)	HMDB0117808			
CL(8:0/10:0/i-16:0/i-24:0)	HMDB0117809			
CL(8:0/10:0/i-16:0/25:0)	HMDB0117810			
CL(8:0/10:0/i-16:0/a-25:0)	HMDB0117811			
CL(8:0/10:0/17:0/17:0)	HMDB0117812			
CL(8:0/10:0/17:0/a-17:0)	HMDB0117813			
CL(8:0/10:0/17:0/i-17:0)	HMDB0117814			
CL(8:0/10:0/17:0/18:0)	HMDB0117815			
CL(8:0/10:0/17:0/i-18:0)	HMDB0117816			
CL(8:0/10:0/17:0/18:2(9Z,11Z))	HMDB0117817			
CL(8:0/10:0/17:0/19:0)	HMDB0117818			
CL(8:0/10:0/17:0/i-19:0)	HMDB0117819			
CL(8:0/10:0/17:0/20:0)	HMDB0117820			
CL(8:0/10:0/17:0/i-20:0)	HMDB0117821			
CL(8:0/10:0/17:0/21:0)	HMDB0117822			
CL(8:0/10:0/17:0/a-21:0)	HMDB0117823			
CL(8:0/10:0/17:0/i-21:0)	HMDB0117824			
CL(8:0/10:0/17:0/22:0)	HMDB0117825			
CL(8:0/10:0/17:0/i-22:0)	HMDB0117826			
CL(8:0/10:0/17:0/23:0)	HMDB0117827			
CL(8:0/10:0/17:0/24:0)	HMDB0117828			
CL(8:0/10:0/17:0/i-24:0)	HMDB0117829			
CL(8:0/10:0/17:0/25:0)	HMDB0117830			
CL(8:0/10:0/17:0/a-25:0)	HMDB0117831			
CL(8:0/10:0/a-17:0/a-17:0)	HMDB0117832			
CL(8:0/10:0/a-17:0/i-17:0)	HMDB0117833			
CL(8:0/10:0/a-17:0/18:0)	HMDB0117834			
CL(8:0/10:0/a-17:0/i-18:0)	HMDB0117835			
CL(8:0/10:0/a-17:0/18:2(9Z,11Z))	HMDB0117836			
CL(8:0/10:0/a-17:0/19:0)	HMDB0117837			
CL(8:0/10:0/a-17:0/i-19:0)	HMDB0117838			
CL(8:0/10:0/a-17:0/20:0)	HMDB0117839			
CL(8:0/10:0/a-17:0/i-20:0)	HMDB0117840			
CL(8:0/10:0/a-17:0/21:0)	HMDB0117841			
CL(8:0/10:0/a-17:0/a-21:0)	HMDB0117842			
CL(8:0/10:0/a-17:0/i-21:0)	HMDB0117843			
CL(8:0/10:0/a-17:0/22:0)	HMDB0117844			
CL(8:0/10:0/a-17:0/i-22:0)	HMDB0117845			
CL(8:0/10:0/a-17:0/23:0)	HMDB0117846			
CL(8:0/10:0/a-17:0/24:0)	HMDB0117847			
CL(8:0/10:0/a-17:0/i-24:0)	HMDB0117848			
CL(8:0/10:0/a-17:0/25:0)	HMDB0117849			
CL(8:0/10:0/a-17:0/a-25:0)	HMDB0117850			
CL(8:0/10:0/i-17:0/i-17:0)	HMDB0117851			
CL(8:0/10:0/i-17:0/18:0)	HMDB0117852			
CL(8:0/10:0/i-17:0/i-18:0)	HMDB0117853			
CL(8:0/10:0/i-17:0/18:2(9Z,11Z))	HMDB0117854			
CL(8:0/10:0/i-17:0/19:0)	HMDB0117855			
CL(8:0/10:0/i-17:0/i-19:0)	HMDB0117856			
CL(8:0/10:0/i-17:0/20:0)	HMDB0117857			
CL(8:0/10:0/i-17:0/i-20:0)	HMDB0117858			
CL(8:0/10:0/i-17:0/21:0)	HMDB0117859			
CL(8:0/10:0/i-17:0/a-21:0)	HMDB0117860			
CL(8:0/10:0/i-17:0/i-21:0)	HMDB0117861			
CL(8:0/10:0/i-17:0/22:0)	HMDB0117862			
CL(8:0/10:0/i-17:0/i-22:0)	HMDB0117863			
CL(8:0/10:0/i-17:0/23:0)	HMDB0117864			
CL(8:0/10:0/i-17:0/24:0)	HMDB0117865			
CL(8:0/10:0/i-17:0/i-24:0)	HMDB0117866			
CL(8:0/10:0/i-17:0/25:0)	HMDB0117867			
CL(8:0/10:0/i-17:0/a-25:0)	HMDB0117868			
CL(8:0/10:0/18:0/18:0)	HMDB0117869			
CL(8:0/10:0/18:0/i-18:0)	HMDB0117870			
CL(8:0/10:0/18:0/18:2(9Z,11Z))	HMDB0117871			
CL(8:0/10:0/18:0/19:0)	HMDB0117872			
CL(8:0/10:0/18:0/i-19:0)	HMDB0117873			
CL(8:0/10:0/18:0/20:0)	HMDB0117874			
CL(8:0/10:0/18:0/i-20:0)	HMDB0117875			
CL(8:0/10:0/18:0/21:0)	HMDB0117876			
CL(8:0/10:0/18:0/a-21:0)	HMDB0117877			
CL(8:0/10:0/18:0/i-21:0)	HMDB0117878			
CL(8:0/10:0/18:0/22:0)	HMDB0117879			
CL(8:0/10:0/18:0/i-22:0)	HMDB0117880			
CL(8:0/10:0/18:0/23:0)	HMDB0117881			
CL(8:0/10:0/18:0/24:0)	HMDB0117882			
CL(8:0/10:0/18:0/i-24:0)	HMDB0117883			
CL(8:0/10:0/18:0/25:0)	HMDB0117884			
CL(8:0/10:0/18:0/a-25:0)	HMDB0117885			
CL(8:0/10:0/i-18:0/i-18:0)	HMDB0117886			
CL(8:0/10:0/i-18:0/18:2(9Z,11Z))	HMDB0117887			
CL(8:0/10:0/i-18:0/19:0)	HMDB0117888			
CL(8:0/10:0/i-18:0/i-19:0)	HMDB0117889			
CL(8:0/10:0/i-18:0/20:0)	HMDB0117890			
CL(8:0/10:0/i-18:0/i-20:0)	HMDB0117891			
CL(8:0/10:0/i-18:0/21:0)	HMDB0117892			
CL(8:0/10:0/i-18:0/a-21:0)	HMDB0117893			
CL(8:0/10:0/i-18:0/i-21:0)	HMDB0117894			
CL(8:0/10:0/i-18:0/22:0)	HMDB0117895			
CL(8:0/10:0/i-18:0/i-22:0)	HMDB0117896			
CL(8:0/10:0/i-18:0/23:0)	HMDB0117897			
CL(8:0/10:0/i-18:0/24:0)	HMDB0117898			
CL(8:0/10:0/i-18:0/i-24:0)	HMDB0117899			
CL(8:0/10:0/i-18:0/25:0)	HMDB0117900			
CL(8:0/10:0/i-18:0/a-25:0)	HMDB0117901			
CL(8:0/10:0/18:2(9Z,11Z)/18:2(9Z,11Z))	HMDB0117902			
CL(8:0/10:0/18:2(9Z,11Z)/19:0)	HMDB0117903			
CL(8:0/10:0/18:2(9Z,11Z)/i-19:0)	HMDB0117904			
CL(8:0/10:0/18:2(9Z,11Z)/20:0)	HMDB0117905			
CL(8:0/10:0/18:2(9Z,11Z)/i-20:0)	HMDB0117906			
CL(8:0/10:0/18:2(9Z,11Z)/21:0)	HMDB0117907			
CL(8:0/10:0/18:2(9Z,11Z)/a-21:0)	HMDB0117908			
CL(8:0/10:0/18:2(9Z,11Z)/i-21:0)	HMDB0117909			
CL(8:0/10:0/18:2(9Z,11Z)/22:0)	HMDB0117910			
CL(8:0/10:0/18:2(9Z,11Z)/i-22:0)	HMDB0117911			
CL(8:0/10:0/18:2(9Z,11Z)/23:0)	HMDB0117912			
CL(8:0/10:0/18:2(9Z,11Z)/24:0)	HMDB0117913			
CL(8:0/10:0/18:2(9Z,11Z)/i-24:0)	HMDB0117914			
CL(8:0/10:0/18:2(9Z,11Z)/25:0)	HMDB0117915			
CL(8:0/10:0/18:2(9Z,11Z)/a-25:0)	HMDB0117916			
CL(8:0/10:0/19:0/19:0)	HMDB0117917			
CL(8:0/10:0/19:0/i-19:0)	HMDB0117918			
CL(8:0/10:0/19:0/20:0)	HMDB0117919			
CL(8:0/10:0/19:0/i-20:0)	HMDB0117920			
CL(8:0/10:0/19:0/21:0)	HMDB0117921			
CL(8:0/10:0/19:0/a-21:0)	HMDB0117922			
CL(8:0/10:0/19:0/i-21:0)	HMDB0117923			
CL(8:0/10:0/19:0/22:0)	HMDB0117924			
CL(8:0/10:0/19:0/i-22:0)	HMDB0117925			
CL(8:0/10:0/19:0/23:0)	HMDB0117926			
CL(8:0/10:0/19:0/24:0)	HMDB0117927			
CL(8:0/10:0/19:0/i-24:0)	HMDB0117928			
CL(8:0/10:0/19:0/25:0)	HMDB0117929			
CL(8:0/10:0/19:0/a-25:0)	HMDB0117930			
CL(8:0/10:0/i-19:0/i-19:0)	HMDB0117931			
CL(8:0/10:0/i-19:0/20:0)	HMDB0117932			
CL(8:0/10:0/i-19:0/i-20:0)	HMDB0117933			
CL(8:0/10:0/i-19:0/21:0)	HMDB0117934			
CL(8:0/10:0/i-19:0/a-21:0)	HMDB0117935			
CL(8:0/10:0/i-19:0/i-21:0)	HMDB0117936			
CL(8:0/10:0/i-19:0/22:0)	HMDB0117937			
CL(8:0/10:0/i-19:0/i-22:0)	HMDB0117938			
CL(8:0/10:0/i-19:0/23:0)	HMDB0117939			
CL(8:0/10:0/i-19:0/24:0)	HMDB0117940			
CL(8:0/10:0/i-19:0/i-24:0)	HMDB0117941			
CL(8:0/10:0/i-19:0/25:0)	HMDB0117942			
CL(8:0/10:0/i-19:0/a-25:0)	HMDB0117943			
CL(8:0/10:0/20:0/20:0)	HMDB0117944			
CL(8:0/10:0/20:0/i-20:0)	HMDB0117945			
CL(8:0/10:0/20:0/21:0)	HMDB0117946			
CL(8:0/10:0/20:0/a-21:0)	HMDB0117947			
CL(8:0/10:0/20:0/i-21:0)	HMDB0117948			
CL(8:0/10:0/20:0/22:0)	HMDB0117949			
CL(8:0/10:0/20:0/i-22:0)	HMDB0117950			
CL(8:0/10:0/20:0/23:0)	HMDB0117951			
CL(8:0/10:0/20:0/24:0)	HMDB0117952			
CL(8:0/10:0/20:0/i-24:0)	HMDB0117953			
CL(8:0/10:0/20:0/25:0)	HMDB0117954			
CL(8:0/10:0/20:0/a-25:0)	HMDB0117955			
CL(8:0/10:0/i-20:0/i-20:0)	HMDB0117956			
CL(8:0/10:0/i-20:0/21:0)	HMDB0117957			
CL(8:0/10:0/i-20:0/a-21:0)	HMDB0117958			
CL(8:0/10:0/i-20:0/i-21:0)	HMDB0117959			
CL(8:0/10:0/i-20:0/22:0)	HMDB0117960			
CL(8:0/10:0/i-20:0/i-22:0)	HMDB0117961			
CL(8:0/10:0/i-20:0/23:0)	HMDB0117962			
CL(8:0/10:0/i-20:0/24:0)	HMDB0117963			
CL(8:0/10:0/i-20:0/i-24:0)	HMDB0117964			
CL(8:0/10:0/i-20:0/25:0)	HMDB0117965			
CL(8:0/10:0/i-20:0/a-25:0)	HMDB0117966			
CL(8:0/10:0/21:0/21:0)	HMDB0117967			
CL(8:0/10:0/21:0/a-21:0)	HMDB0117968			
CL(8:0/10:0/21:0/i-21:0)	HMDB0117969			
CL(8:0/10:0/21:0/22:0)	HMDB0117970			
CL(8:0/10:0/21:0/i-22:0)	HMDB0117971			
CL(8:0/10:0/21:0/23:0)	HMDB0117972			
CL(8:0/10:0/21:0/24:0)	HMDB0117973			
CL(8:0/10:0/21:0/i-24:0)	HMDB0117974			
CL(8:0/10:0/21:0/25:0)	HMDB0117975			
CL(8:0/10:0/21:0/a-25:0)	HMDB0117976			
CL(8:0/10:0/a-21:0/a-21:0)	HMDB0117977			
CL(8:0/10:0/a-21:0/i-21:0)	HMDB0117978			
CL(8:0/10:0/a-21:0/22:0)	HMDB0117979			
CL(8:0/10:0/a-21:0/i-22:0)	HMDB0117980			
CL(8:0/10:0/a-21:0/23:0)	HMDB0117981			
CL(8:0/10:0/a-21:0/24:0)	HMDB0117982			
CL(8:0/10:0/a-21:0/i-24:0)	HMDB0117983			
CL(8:0/10:0/a-21:0/25:0)	HMDB0117984			
CL(8:0/10:0/a-21:0/a-25:0)	HMDB0117985			
CL(8:0/10:0/i-21:0/i-21:0)	HMDB0117986			
CL(8:0/10:0/i-21:0/22:0)	HMDB0117987			
CL(8:0/10:0/i-21:0/i-22:0)	HMDB0117988			
CL(8:0/10:0/i-21:0/23:0)	HMDB0117989			
CL(8:0/10:0/i-21:0/24:0)	HMDB0117990			
CL(8:0/10:0/i-21:0/i-24:0)	HMDB0117991			
CL(8:0/10:0/i-21:0/25:0)	HMDB0117992			
CL(8:0/10:0/i-21:0/a-25:0)	HMDB0117993			
CL(8:0/10:0/22:0/22:0)	HMDB0117994			
CL(8:0/10:0/22:0/i-22:0)	HMDB0117995			
CL(8:0/10:0/22:0/23:0)	HMDB0117996			
CL(8:0/10:0/22:0/24:0)	HMDB0117997			
CL(8:0/10:0/22:0/i-24:0)	HMDB0117998			
CL(8:0/10:0/22:0/25:0)	HMDB0117999			
CL(8:0/10:0/22:0/a-25:0)	HMDB0118000			
CL(8:0/10:0/i-22:0/i-22:0)	HMDB0118001			
CL(8:0/10:0/i-22:0/23:0)	HMDB0118002			
CL(8:0/10:0/i-22:0/24:0)	HMDB0118003			
CL(8:0/10:0/i-22:0/i-24:0)	HMDB0118004			
CL(8:0/10:0/i-22:0/25:0)	HMDB0118005			
CL(8:0/10:0/i-22:0/a-25:0)	HMDB0118006			
CL(8:0/10:0/23:0/23:0)	HMDB0118007			
CL(8:0/10:0/23:0/24:0)	HMDB0118008			
CL(8:0/10:0/23:0/i-24:0)	HMDB0118009			
CL(8:0/10:0/23:0/25:0)	HMDB0118010			
CL(8:0/10:0/23:0/a-25:0)	HMDB0118011			
CL(8:0/10:0/24:0/24:0)	HMDB0118012			
CL(8:0/10:0/24:0/i-24:0)	HMDB0118013			
CL(8:0/10:0/24:0/25:0)	HMDB0118014			
CL(8:0/10:0/24:0/a-25:0)	HMDB0118015			
CL(8:0/10:0/i-24:0/i-24:0)	HMDB0118016			
CL(8:0/10:0/i-24:0/25:0)	HMDB0118017			
CL(8:0/10:0/i-24:0/a-25:0)	HMDB0118018			
CL(8:0/10:0/25:0/25:0)	HMDB0118019			
CL(8:0/10:0/25:0/a-25:0)	HMDB0118020			
CL(8:0/10:0/a-25:0/a-25:0)	HMDB0118021			
CL(8:0/11:0/11:0/11:0)	HMDB0118022			
CL(8:0/11:0/11:0/12:0)	HMDB0118023			
CL(8:0/11:0/11:0/i-12:0)	HMDB0118024			
CL(8:0/11:0/11:0/13:0)	HMDB0118025			
CL(8:0/11:0/11:0/a-13:0)	HMDB0118026			
CL(8:0/11:0/11:0/i-13:0)	HMDB0118027			
CL(8:0/11:0/11:0/14:0)	HMDB0118028			
CL(8:0/11:0/11:0/i-14:0)	HMDB0118029			
CL(8:0/11:0/11:0/15:0)	HMDB0118030			
CL(8:0/11:0/11:0/a-15:0)	HMDB0118031			
CL(8:0/11:0/11:0/i-15:0)	HMDB0118032			
CL(8:0/11:0/11:0/16:0)	HMDB0118033			
CL(8:0/11:0/11:0/i-16:0)	HMDB0118034			
CL(8:0/11:0/11:0/17:0)	HMDB0118035			
CL(8:0/11:0/11:0/a-17:0)	HMDB0118036			
CL(8:0/11:0/11:0/i-17:0)	HMDB0118037			
CL(8:0/11:0/11:0/18:0)	HMDB0118038			
CL(8:0/11:0/11:0/i-18:0)	HMDB0118039			
CL(8:0/11:0/11:0/18:2(9Z,11Z))	HMDB0118040			
CL(8:0/11:0/11:0/19:0)	HMDB0118041			
CL(8:0/11:0/11:0/i-19:0)	HMDB0118042			
CL(8:0/11:0/11:0/20:0)	HMDB0118043			
CL(8:0/11:0/11:0/i-20:0)	HMDB0118044			
CL(8:0/11:0/11:0/21:0)	HMDB0118045			
CL(8:0/11:0/11:0/a-21:0)	HMDB0118046			
CL(8:0/11:0/11:0/i-21:0)	HMDB0118047			
CL(8:0/11:0/11:0/22:0)	HMDB0118048			
CL(8:0/11:0/11:0/i-22:0)	HMDB0118049			
CL(8:0/11:0/11:0/23:0)	HMDB0118050			
CL(8:0/11:0/11:0/24:0)	HMDB0118051			
CL(8:0/11:0/11:0/i-24:0)	HMDB0118052			
CL(8:0/11:0/11:0/25:0)	HMDB0118053			
CL(8:0/11:0/11:0/a-25:0)	HMDB0118054			
CL(8:0/11:0/12:0/12:0)	HMDB0118055			
CL(8:0/11:0/12:0/i-12:0)	HMDB0118056			
CL(8:0/11:0/12:0/13:0)	HMDB0118057			
CL(8:0/11:0/12:0/a-13:0)	HMDB0118058			
CL(8:0/11:0/12:0/i-13:0)	HMDB0118059			
CL(8:0/11:0/12:0/14:0)	HMDB0118060			
CL(8:0/11:0/12:0/i-14:0)	HMDB0118061			
CL(8:0/11:0/12:0/15:0)	HMDB0118062			
CL(8:0/11:0/12:0/a-15:0)	HMDB0118063			
CL(8:0/11:0/12:0/i-15:0)	HMDB0118064			
CL(8:0/11:0/12:0/16:0)	HMDB0118065			
CL(8:0/11:0/12:0/i-16:0)	HMDB0118066			
CL(8:0/11:0/12:0/17:0)	HMDB0118067			
CL(8:0/11:0/12:0/a-17:0)	HMDB0118068			
CL(8:0/11:0/12:0/i-17:0)	HMDB0118069			
CL(8:0/11:0/12:0/18:0)	HMDB0118070			
CL(8:0/11:0/12:0/i-18:0)	HMDB0118071			
CL(8:0/11:0/12:0/18:2(9Z,11Z))	HMDB0118072			
CL(8:0/11:0/12:0/19:0)	HMDB0118073			
CL(8:0/11:0/12:0/i-19:0)	HMDB0118074			
CL(8:0/11:0/12:0/20:0)	HMDB0118075			
CL(8:0/11:0/12:0/i-20:0)	HMDB0118076			
CL(8:0/11:0/12:0/21:0)	HMDB0118077			
CL(8:0/11:0/12:0/a-21:0)	HMDB0118078			
CL(8:0/11:0/12:0/i-21:0)	HMDB0118079			
CL(8:0/11:0/12:0/22:0)	HMDB0118080			
CL(8:0/11:0/12:0/i-22:0)	HMDB0118081			
CL(8:0/11:0/12:0/23:0)	HMDB0118082			
CL(8:0/11:0/12:0/24:0)	HMDB0118083			
CL(8:0/11:0/12:0/i-24:0)	HMDB0118084			
CL(8:0/11:0/12:0/25:0)	HMDB0118085			
CL(8:0/11:0/12:0/a-25:0)	HMDB0118086			
CL(8:0/11:0/i-12:0/i-12:0)	HMDB0118087			
CL(8:0/11:0/i-12:0/13:0)	HMDB0118088			
CL(8:0/11:0/i-12:0/a-13:0)	HMDB0118089			
CL(8:0/11:0/i-12:0/i-13:0)	HMDB0118090			
CL(8:0/11:0/i-12:0/14:0)	HMDB0118091			
CL(8:0/11:0/i-12:0/i-14:0)	HMDB0118092			
CL(8:0/11:0/i-12:0/15:0)	HMDB0118093			
CL(8:0/11:0/i-12:0/a-15:0)	HMDB0118094			
CL(8:0/11:0/i-12:0/i-15:0)	HMDB0118095			
CL(8:0/11:0/i-12:0/16:0)	HMDB0118096			
CL(8:0/11:0/i-12:0/i-16:0)	HMDB0118097			
CL(8:0/11:0/i-12:0/17:0)	HMDB0118098			
CL(8:0/11:0/i-12:0/a-17:0)	HMDB0118099			
CL(8:0/11:0/i-12:0/i-17:0)	HMDB0118100			
CL(8:0/11:0/i-12:0/18:0)	HMDB0118101			
CL(8:0/11:0/i-12:0/i-18:0)	HMDB0118102			
CL(8:0/11:0/i-12:0/18:2(9Z,11Z))	HMDB0118103			
CL(8:0/11:0/i-12:0/19:0)	HMDB0118104			
CL(8:0/11:0/i-12:0/i-19:0)	HMDB0118105			
CL(8:0/11:0/i-12:0/20:0)	HMDB0118106			
CL(8:0/11:0/i-12:0/i-20:0)	HMDB0118107			
CL(8:0/11:0/i-12:0/21:0)	HMDB0118108			
CL(8:0/11:0/i-12:0/a-21:0)	HMDB0118109			
CL(8:0/11:0/i-12:0/i-21:0)	HMDB0118110			
CL(8:0/11:0/i-12:0/22:0)	HMDB0118111			
CL(8:0/11:0/i-12:0/i-22:0)	HMDB0118112			
CL(8:0/11:0/i-12:0/23:0)	HMDB0118113			
CL(8:0/11:0/i-12:0/24:0)	HMDB0118114			
CL(8:0/11:0/i-12:0/i-24:0)	HMDB0118115			
CL(8:0/11:0/i-12:0/25:0)	HMDB0118116			
CL(8:0/11:0/i-12:0/a-25:0)	HMDB0118117			
CL(8:0/11:0/13:0/13:0)	HMDB0118118			
CL(8:0/11:0/13:0/a-13:0)	HMDB0118119			
CL(8:0/11:0/13:0/i-13:0)	HMDB0118120			
CL(8:0/11:0/13:0/14:0)	HMDB0118121			
CL(8:0/11:0/13:0/i-14:0)	HMDB0118122			
CL(8:0/11:0/13:0/15:0)	HMDB0118123			
CL(8:0/11:0/13:0/a-15:0)	HMDB0118124			
CL(8:0/11:0/13:0/i-15:0)	HMDB0118125			
CL(8:0/11:0/13:0/16:0)	HMDB0118126			
CL(8:0/11:0/13:0/i-16:0)	HMDB0118127			
CL(8:0/11:0/13:0/17:0)	HMDB0118128			
CL(8:0/11:0/13:0/a-17:0)	HMDB0118129			
CL(8:0/11:0/13:0/i-17:0)	HMDB0118130			
CL(8:0/11:0/13:0/18:0)	HMDB0118131			
CL(8:0/11:0/13:0/i-18:0)	HMDB0118132			
CL(8:0/11:0/13:0/18:2(9Z,11Z))	HMDB0118133			
CL(8:0/11:0/13:0/19:0)	HMDB0118134			
CL(8:0/11:0/13:0/i-19:0)	HMDB0118135			
CL(8:0/11:0/13:0/20:0)	HMDB0118136			
CL(8:0/11:0/13:0/i-20:0)	HMDB0118137			
CL(8:0/11:0/13:0/21:0)	HMDB0118138			
CL(8:0/11:0/13:0/a-21:0)	HMDB0118139			
CL(8:0/11:0/13:0/i-21:0)	HMDB0118140			
CL(8:0/11:0/13:0/22:0)	HMDB0118141			
CL(8:0/11:0/13:0/i-22:0)	HMDB0118142			
CL(8:0/11:0/13:0/23:0)	HMDB0118143			
CL(8:0/11:0/13:0/24:0)	HMDB0118144			
CL(8:0/11:0/13:0/i-24:0)	HMDB0118145			
CL(8:0/11:0/13:0/25:0)	HMDB0118146			
CL(8:0/11:0/13:0/a-25:0)	HMDB0118147			
CL(8:0/11:0/a-13:0/a-13:0)	HMDB0118148			
CL(8:0/11:0/a-13:0/i-13:0)	HMDB0118149			
CL(8:0/11:0/a-13:0/14:0)	HMDB0118150			
CL(8:0/11:0/a-13:0/i-14:0)	HMDB0118151			
CL(8:0/11:0/a-13:0/15:0)	HMDB0118152			
CL(8:0/11:0/a-13:0/a-15:0)	HMDB0118153			
CL(8:0/11:0/a-13:0/i-15:0)	HMDB0118154			
CL(8:0/11:0/a-13:0/16:0)	HMDB0118155			
CL(8:0/11:0/a-13:0/i-16:0)	HMDB0118156			
CL(8:0/11:0/a-13:0/17:0)	HMDB0118157			
CL(8:0/11:0/a-13:0/a-17:0)	HMDB0118158			
CL(8:0/11:0/a-13:0/i-17:0)	HMDB0118159			
CL(8:0/11:0/a-13:0/18:0)	HMDB0118160			
CL(8:0/11:0/a-13:0/i-18:0)	HMDB0118161			
CL(8:0/11:0/a-13:0/18:2(9Z,11Z))	HMDB0118162			
CL(8:0/11:0/a-13:0/19:0)	HMDB0118163			
CL(8:0/11:0/a-13:0/i-19:0)	HMDB0118164			
CL(8:0/11:0/a-13:0/20:0)	HMDB0118165			
CL(8:0/11:0/a-13:0/i-20:0)	HMDB0118166			
CL(8:0/11:0/a-13:0/21:0)	HMDB0118167			
CL(8:0/11:0/a-13:0/a-21:0)	HMDB0118168			
CL(8:0/11:0/a-13:0/i-21:0)	HMDB0118169			
CL(8:0/11:0/a-13:0/22:0)	HMDB0118170			
CL(8:0/11:0/a-13:0/i-22:0)	HMDB0118171			
CL(8:0/11:0/a-13:0/23:0)	HMDB0118172			
CL(8:0/11:0/a-13:0/24:0)	HMDB0118173			
CL(8:0/11:0/a-13:0/i-24:0)	HMDB0118174			
CL(8:0/11:0/a-13:0/25:0)	HMDB0118175			
CL(8:0/11:0/a-13:0/a-25:0)	HMDB0118176			
CL(8:0/11:0/i-13:0/i-13:0)	HMDB0118177			
CL(8:0/11:0/i-13:0/14:0)	HMDB0118178			
CL(8:0/11:0/i-13:0/i-14:0)	HMDB0118179			
CL(8:0/11:0/i-13:0/15:0)	HMDB0118180			
CL(8:0/11:0/i-13:0/a-15:0)	HMDB0118181			
CL(8:0/11:0/i-13:0/i-15:0)	HMDB0118182			
CL(8:0/11:0/i-13:0/16:0)	HMDB0118183			
CL(8:0/11:0/i-13:0/i-16:0)	HMDB0118184			
CL(8:0/11:0/i-13:0/17:0)	HMDB0118185			
CL(8:0/11:0/i-13:0/a-17:0)	HMDB0118186			
CL(8:0/11:0/i-13:0/i-17:0)	HMDB0118187			
CL(8:0/11:0/i-13:0/18:0)	HMDB0118188			
CL(8:0/11:0/i-13:0/i-18:0)	HMDB0118189			
CL(8:0/11:0/i-13:0/18:2(9Z,11Z))	HMDB0118190			
CL(8:0/11:0/i-13:0/19:0)	HMDB0118191			
