LipidMaps	HMDB
LMFA11000629	HMDB0038191
LMFA07010904	HMDB0038269
LMFA07070073	HMDB0062555
LMFA05000580	HMDB0030885
LMFA05000598	HMDB0041500
LMFA07010777	HMDB0038268
LMFA03020053	HMDB0012588
LMFA01050482	HMDB0040531
LMFA01030972	HMDB0031158
LMFA07010902	HMDB0034461
LMFA07050271	HMDB12179
LMFA07050339	HMDB0002346
LMFA07010803	HMDB0032200
LMFA07010812	HMDB0034844
LMFA01050537	HMDB0030935
LMFA01150013	HMDB0031005
LMFA01150020	HMDB0112080
LMFA07090017	HMDB0112134
LMFA01030249	HMDB0062243
LMFA07090037	HMDB0112124
LMFA07090024	HMDB0112139
LMFA11000001	HMDB0034284
LMFA03050002	HMDB0012535
LMFA03020009	HMDB0006465
LMFA01030001	HMDB0001043
LMFA01020068	HMDB0061828
LMFA01060006	HMDB0000720
LMFA01030119	HMDB0005047
LMFA01030057	HMDB0012328
LMFA06000109	HMDB0005994
LMFA06000099	HMDB0030965
LMFA01030400	HMDB0031013
LMFA12000053	HMDB0031267
LMFA03050018	HMDB0004694
LMFA02000115	HMDB0062281
LMFA01050342	HMDB00008
LMFA02000228	HMDB0004667
LMFA02000274	HMDB0004669
LMFA02020010	HMDB0036583
LMFA04000043	HMDB0010214
LMFA03060084	HMDB11134
LMFA01170093	HMDB0000325
LMFA01170102	HMDB0001370
LMFA01170108	HMDB0000663
LMFA12000177	HMDB0030924
LMFA06000147	HMDB0041014
LMFA07010186	HMDB0031480
LMFA13010056	HMDB0038327
LMFA12000011	HMDB0031309
LMFA12000044	HMDB0031409
LMFA07010913	HMDB0037735
LMFA07010420	HMDB0034136
LMFA11000570	HMDB0034005
LMFA07010986	HMDB0035500
LMFA07011002	HMDB0037733
LMFA07010992	HMDB0036217
LMFA11000313	HMDB0059874
LMFA01050496	HMDB0013900
LMFA01030985	HMDB0031561
LMFA05000567	HMDB0032125
LMFA05000577	HMDB0032112
LMFA05000602	HMDB0031290
LMFA05000615	HMDB0033908
LMFA05000644	HMDB0031048
LMFA08020202	HMDB0006878
LMFA07050282	HMDB02307
LMFA07070107	HMDB0005066
LMFA07010849	HMDB0032266
LMFA07010864	HMDB0034234
LMFA07010878	HMDB0040193
LMFA07010884	HMDB0038962
LMFA07010424	HMDB0032249
LMFA03040001	HMDB0004385
LMFA03070010	HMDB0062408
LMFA03070007	HMDB10202
LMFA01020012	HMDB0061709
LMFA03060021	HMDB04679
LMFA01030056	HMDB0003229
LMFA01010021	HMDB0002345
LMFA02000161	HMDB0031679
LMFA01060017	HMDB0010721
LMFA01050156	HMDB0033201
LMFA01170043	HMDB0000254
LMFA08010003	HMDB0034146
LMFA01170099	HMDB0000634
LMFA01170116	HMDB0000749
LMFA07010197	HMDB0038602
LMFA08020094	HMDB0062333
LMFA07010825	HMDB0034429
LMFA07010891	HMDB0037730
LMFA07070106	HMDB0006463
LMFA01060056	HMDB0030973
LMFA11000589	HMDB0061866
LMFA05000488	HMDB0030966
LMFA07040040	HMDB0037742
LMFA07010524	HMDB0037225
LMFA07040010	HMDB0003843
LMFA12000104	HMDB0031487
LMFA01050439	HMDB0029389
LMFA01050468	HMDB0029576
LMFA05000596	HMDB0035273
LMFA05000662	HMDB0038994
LMFA07050135	HMDB0112236
LMFA07070074	HMDB0013125
LMFA07070103	HMDB0041993
LMFA08020197	HMDB0013654
LMFA07070055	HMDB0006510
LMFA07050333	HMDB0112246
LMFA07010758	HMDB0038907
LMFA07010806	HMDB0032319
LMFA07010809	HMDB0038280
LMFA07050232	HMDB01493
LMFA07050240	HMDB0060215
LMFA01140051	HMDB0031060
LMFA01150017	HMDB0094642
LMFA03010067	HMDB0062612
LMFA05000001	HMDB0011626
LMFA07090050	HMDB0112155
LMFA03010134	HMDB0001442
LMFA01010030	HMDB0030925
LMFA01030195	HMDB0010720
LMFA06000081	HMDB0032526
LMFA02000196	HMDB0010737
LMFA01170057	HMDB0037831
LMFA01020075	HMDB0033774
LMFA01030713	HMDB0031055
LMFA01170009	HMDB0000623
LMFA05000062	HMDB0011624
LMFA03000003	HMDB0010205
LMFA01020285	HMDB0002221
LMFA01170107	HMDB0000639
LMFA01060058	HMDB0030978
LMFA01030060	HMDB0062437
LMFA12000028	HMDB0001184
LMFA12000047	HMDB0031482
LMFA11000393	HMDB0037828
LMFA07010575	HMDB0034163
LMFA01030920	HMDB0029799
LMFA05000700	HMDB0036344
LMFA05000703	HMDB0031231
LMFA05000684	HMDB29632
LMFA12000052	HMDB0031266
LMFA08020203	HMDB0034215
LMFA07070031	HMDB0013161
LMFA07070075	HMDB00736
LMFA11000685	HMDB0030309
LMFA05000578	HMDB0040982
LMFA05000637	HMDB0037171
LMFA05000640	HMDB0031043
LMFA07010757	HMDB0040157
LMFA07010789	HMDB0038242
LMFA07010815	HMDB0038957
LMFA07011030	HMDB0013322
LMFA07010981	HMDB0036220
LMFA07050248	HMDB06498
LMFA07010937	HMDB0029585
LMFA07010938	HMDB0041306
LMFA07010860	HMDB0031579
LMFA11000712	HMDB0035400
LMFA08010027	HMDB0030481
LMFA01150012	HMDB0061647
LMFA01150015	HMDB0061649
LMFA01150031	HMDB0112081
LMFA01120001	HMDB0005049
LMFA03010035	HMDB0002752
LMFA03070009	HMDB0062296
LMFA03010011	HMDB02277
LMFA01010009	HMDB0000847
LMFA01050073	HMDB0061659
LMFA08040007	HMDB0013624
LMFA08040009	HMDB0013658
LMFA01020188	HMDB0034456
LMFA01050183	HMDB0061657
LMFA01030377	HMDB0062432
LMFA11000003	HMDB0059830
LMFA01050352	HMDB0059629
LMFA02000016	HMDB0004668
LMFA08020082	HMDB0013631
LMFA01100036	HMDB0060273
LMFA03060091	HMDB0012598
LMFA01100048	HMDB0062203
LMFA01050378	HMDB00337
LMFA11000402	HMDB0038309
LMFA12000034	HMDB0031606
LMFA12000058	HMDB0034148
LMFA05000510	HMDB0031408
LMFA07010595	HMDB0034460
LMFA07010627	HMDB0029351
LMFA01030969	HMDB0040909
LMFA01030968	HMDB0013902
LMFA11000598	HMDB0037268
LMFA11000691	HMDB0062598
LMFA03020041	HMDB0012498
LMFA02000289	HMDB38580
LMFA03090011	HMDB0004673
LMFA05000588	HMDB0034285
LMFA05000612	HMDB0041288
LMFA05000619	HMDB0033916
LMFA08020162	HMDB0030951
LMFA07010759	HMDB0037372
